video_id,video_path,filename,flow_regime,flow_regime_idx,vsg,vsl,fps,duration,frame_count,resolution
V0010,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.25-Vsl=2.88-vid9.mp4,df-Vsg=0.25-Vsl=2.88-vid9.mp4,Dispersed Flow,0,0.25,2.88,30.0,22.666666666666668,680,1920x1080
V0011,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Dispersed-Flow\df-Vsg=0.263-Vsl=2.6-vid13.mp4,df-Vsg=0.263-Vsl=2.6-vid13.mp4,Dispersed Flow,0,0.263,2.6,30.0,22.666666666666668,680,1920x1080
V0012,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Plug-Flow\pf-Vsg=0.116-Vsl=1.71-vid2.mp4,pf-Vsg=0.116-Vsl=1.71-vid2.mp4,Plug Flow,1,0.116,1.71,30.0,22.2,666,1920x1080
V0013,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Plug-Flow\pf-Vsg=0.118-Vsl=1.4-vid3.mp4,pf-Vsg=0.118-Vsl=1.4-vid3.mp4,Plug Flow,1,0.118,1.4,30.0,22.533333333333335,676,1920x1080
V0014,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Plug-Flow\pf-Vsg=0.233-Vsl=1.71-vid4.mp4,pf-Vsg=0.233-Vsl=1.71-vid4.mp4,Plug Flow,1,0.233,1.71,30.0,22.366666666666667,671,1920x1080
V0015,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Plug-Flow\pf-Vsg=0.284-Vsl=2.02-vid5.mp4,pf-Vsg=0.284-Vsl=2.02-vid5.mp4,Plug Flow,1,0.284,2.02,30.0,22.166666666666668,665,1920x1080
V0016,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Slug-Flow\sf-Vsg=0.177-Vsl=1.4-vid2.mp4,sf-Vsg=0.177-Vsl=1.4-vid2.mp4,Slug Flow,2,0.177,1.4,30.0,22.066666666666666,662,1920x1080
V0017,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Slug-Flow\sf-Vsg=0.237-Vsl=1.4-vid3.mp4,sf-Vsg=0.237-Vsl=1.4-vid3.mp4,Slug Flow,2,0.237,1.4,30.0,22.266666666666666,668,1920x1080
V0018,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Slug-Flow\sf-Vsg=0.29-Vsl=1.71-vid1.mp4,sf-Vsg=0.29-Vsl=1.71-vid1.mp4,Slug Flow,2,0.29,1.71,30.0,22.033333333333335,661,1920x1080
V0019,D:\Research\Multiphase Visual Twin\Papers\Paper1\Project\20Hz-Training-Dataset\Videos\Slug-Flow\sf-Vsg=0.295-Vsl=1.39-vid4.mp4,sf-Vsg=0.295-Vsl=1.39-vid4.mp4,Slug Flow,2,0.295,1.39,30.0,22.066666666666666,662,1920x1080
